# company number	Partner 1	Partner 2	Partner 3	Partner 4
952				
953				
954				
955				
956				
957				
958				
959				
960				
961				
962				
963	Prime Ventures			
964	Mirai Creation Fund	Vanderlande	Innovation Industries	
965	EASME - EU Executive Agency for SMEs			
966				
967				
968	PPM Oost NV	UvA Ventures Holding	Life Sciences Fund Amsterdam	DFZ Participaties
969				
970				
971				
972				
973				
974				
975	Startupbootcamp Commerce Amsterdam			
976				
977				
978				
979	BioGeneration Ventures	UNIIQ	Netherlands Enterprise Agency	
980				
981				
982				
983				
984				
985				
986				
987	iEurope Capital	Andreas Cser		
988				
989				
990	OostNL	Greenhouse Cleantech Incubator		
991				
992	Ausum Ventures	Pangea Blockchain Fund	CV VC	
993				
994				
995	Cinco Capital	Marco Rodzynek	Roman Bach	
996				
997				
998				
999				
1000	Rosebud Finance			
